cuisine	types	name	ingredients	difficulty	health_banners
	['dinner', 'main-course']	Sausage, mustard & apple hash	['450g white potatoes, peeled and cut into 2cm cubes', '30g butter', 'olive oil, for frying', '2 small Cox’s apples, cored and cut into wedges', '4 herby pork sausages, cut into chunks', '2 tsp wholegrain mustard', '3 thyme sprigs, leaves picked', 'watercress salad, to serve']	Easy	['Gluten-free', 'Healthy']
['british']	['dessert', 'treat']	Easter egg brownies	['185g unsalted butter, cut into small chunks, plus extra for greasing', '185g best dark chocolate, broken into pieces', '3 large eggs', '275g golden caster sugar', '85g plain flour', '40g cocoa powder', '5 fondant filled eggs', '150g mini chocolate eggs', 'You will also need a few fluffy chenille Easter chick to decorate (optional)']	Easy	[]
	['dinner']	Rosemary balsamic lamb with vegetable mash	['320g celeriac, peeled and diced', '320g swede, peeled and diced', '320g potato, peeled and diced', '1 tbsp rapeseed oil', '3 red onions, thinly sliced', '550g lean, trimmed lamb steak, diced', '1 tsp finely chopped rosemary', '1 tbsp vegetable bouillon powder', '2 tbsp balsamic vinegar', '1 tbsp chopped parsley', '320g spinach, to serve', '320g frozen peas, to serve']	Easy	['Gluten-free', 'Healthy']
['english']	['afternoon-tea', 'dessert']	Fruity flag traybake	['100g butter or baking spread, softened, plus extra for the tin', '175g self-raising flour', '50g ground almond', '2 tsp baking powder', '4 large eggs', '225g caster sugar', '125ml full-fat Greek yogurt', 'zest 2 lemons', '175g butter, softened', '350g icing sugar, sieved', '300g raspberry', '175g blueberry']	Easy	['Freezable (Freeze un-iced)']
['italian']	['dinner', 'lunch', 'main-course', 'pasta']	Butternut & bacon fusilli	['½ x 160g pack pancetta di cubetti', '1 ½ tbsp olive oil', '750g butternut squash, deseeded and cut into 2cm cubes', '2 rosemary sprigs, leaves finely chopped', '¼ tsp chilli flakes', '3 garlic cloves, finely chopped', '350g fusilli bucati (or fusilli)', '100g young leaf spinach, roughly chopped', 'grated parmesan, to serve']	Easy	['Healthy']
	['afternoon-tea']	Chorizo & manchego scones	['225g self-raising flour, plus extra for dusting', '¼ tsp salt', '50g butter, very cold, diced', '60g chorizo', '110g manchego', 'pinch of smoked paprika', '150ml buttermilk (or milk)']	Easy	[]
	['dinner', 'main-course']	One-pan roast butter chicken	['1 lemon, halved', '1 medium chicken', '100g soft unsalted butter', '2 garlic cloves, crushed', 'small piece ginger, finely grated', '1 tsp garam masala', '1 tsp turmeric', '1 tsp ground cloves', 'handful coriander leaves, chopped', '3 garlic cloves, finely grated', 'small piece ginger, finely grated', '4 cardamom pods', '4 cloves', '1 tsp fennel seeds', '2 tsp garam masala', '1 tsp hot chilli powder', '2 tsp turmeric', '500ml passata', '200ml double cream']	Easy	['Gluten-free']
		Challah	['500g strong white bread flour, plus extra for dusting ', '70g caster sugar', '7g sachet fast-action dried yeast', '2 eggs, beaten', '70ml sunflower oil, plus extra for the bowl', '1 tbsp poppy seeds or sesame seeds (optional)']	More effort	['Vegetarian']
['greek']	['dinner', 'lunch', 'main-course']	Minty roast veg & hummus salad	['4 parsnips, peeled and cut into wedges', '4 carrots, cut into wedges', '2 tsp cumin seeds', '400g can chickpeas, drained', '2 tbsp vegetable oil', '500g pack cooked beetroot (not in vinegar), drained and cut into wedges', '2 tbsp clear honey', '200g pot hummus', '2 tbsp white wine vinegar', 'small bunch mint, leaves picked', '200g block Greek-style salad cheese or feta']	Easy	['Vegetarian']
	['dinner', 'main-course']	Coconut fish curry traybake	['2 x 250g pouches cooked brown rice', '160ml can coconut milk', '4 tbsp Thai red curry paste', '1 tbsp fish sauce', '4fillets white fish (around 120g each)', '200g pack Tenderstem broccoli', '235g pack pak choi', '½ small bunch spring onions, sliced on the diagonal', 'small pack coriander, leaves picked', '2 limes, cut into wedges, to serve']	Easy	[]
['british']	['breakfast', 'brunch']	Ham, mushroom & spinach frittata	['1 tsp oil', '80g chestnut mushrooms, sliced', '50g ham, diced', '80g bag spinach', '4 medium eggs, beaten', '1 tbsp grated cheddar']	Easy	['Gluten-free', 'Keto']
	['dinner', 'main-course', 'supper']	Pea & broad bean shakshuka	['1 bunch asparagus spears', '200g sprouting broccoli', '2 tbsp olive oil', '2 spring onions, finely sliced', '2 tsp cumin seeds', 'large pinch cayenne pepper, plus extra to serve', '4 ripe tomatoes, chopped', '1 small pack parsley, finely chopped', '50g shelled peas', '50g podded broad beans', '4 large eggs', '50g pea shoots', 'Greek yogurt and flatbreads, to serve']	Easy	['Gluten-free', 'Healthy', 'Vegetarian']
	['side-dish']	Guacamole salsa	['¼ white onion, very finely chopped', '1 tbsp white wine vinegar', '2 garlic cloves, crushed', '1-2 jalapeno chillies, very finely chopped (optional)', 'small pack coriander, finely chopped', '2 large, ripe avocados', '1 lime, juiced', '2-3 tbsp olive oil']	Easy	['Vegetarian']
['scottish']	['afternoon-tea', 'snack', 'treat']	Double chocolate shortbreads	['175g butter, softened', '85g golden caster sugar', '200g plain flour', '2 tbsp cocoa powder', '100g chocolate chips, milk or dark']	Easy	[]
	['brunch', 'dinner', 'main-course', 'supper']	Saag paneer kedgeree	['2 large eggs', '1 tbsp vegetable oil', '1 red onion, finely sliced', '115g paneer, cut into 2-3cm, cubes', '2 tbsp medium curry powder', '250g frozen spinach', '200g cooked coconut rice pouch', '½ red chilli, finely sliced (optional)']	Easy	['Vegetarian']
	['afternoon-tea', 'treat']	Courgette & orange cake with cream cheese frosting	['350g courgettes  (no need to peel them)', '200g soft brown sugar', '125ml sunflower oil', '3 large eggs, lightly beaten', 'grated zest 1 orange', '1 tsp vanilla extract', '100g sultanas', '300g self raising flour', '1 tsp baking powder', '200g full-fat  cream cheese', '100g icing sugar, sifted', 'good grating of orange zest ']	Easy	['Freezable (un-iced)']
	['dinner', 'lunch', 'main-course', 'supper']	Green masala butternut squash curry	['40g coriander', '20g mint, stems removed', '2 green chillies, sliced', '4 garlic cloves', '2cm ginger, peeled', '400ml can coconut milk', '1 tsp garam masala', '1 tsp ground turmeric', '500g butternut squash, peeled and cut into even-sized pieces', '150g green beans, ends trimmed', 'cooked basmati rice', 'extra coriander, to serve', 'mango chutney, to serve']	Easy	['Gluten-free', 'Vegan', 'Vegetarian']
['english']		Puy lentil, spiced roast carrot & feta salad	"['2 tbsp olive oil', '1 tbsp cumin seeds', '500g carrots, peeled, halved and cut into batons', '1 tbsp clear honey', '250g pouch cooked Puy lentils  (or canned, drained and rinsed)', '1 red onion, finely sliced', '½  lemon, juiced', 'large handful mint  leaves, roughly chopped', ""100g lamb's lettuce"", '85g feta cheese, crumbled']"	Easy	['Healthy', 'Vegetarian']
	['dessert']	Chocolate trifle	['500ml pot ready-made chilled custard (look for one with real vanilla)', '100g dark chocolate, broken into pieces', '400g shop-bought chocolate brownies', '3 tbsp coffee', '100ml Irish cream liqueur, plus 1 tbsp extra for soaking the brownies', '121g bag Maltesers', '500ml double cream', '25g icing sugar']	Easy	[]
