cuisine	types	name	ingredients	difficulty	health_banners
	['dinner', 'main-course', 'supper']	Slow cooker gammon in cola	['1.5-1.8kg unsmoked boneless gammon joint', '2l cola (not diet)', '1 carrot, peeled and chopped', '1 onion, peeled and quartered', '1 stick celery, chopped', '1 cinnamon stick', '½ tbsp peppercorns', '1 bay leaf', '150ml maple syrup', '2 tbsp wholegrain mustard', '2 tbsp red wine vinegar', 'pinch of ground cloves or five-spice']	Easy	['Gluten-free']
	['lunch', 'starter']	Halloumi, carrot & orange salad	['2 large oranges', '1½ tbsp wholegrain mustard', '1½ tsp honey', '1 tbsp white wine vinegar', '3 tbsp rapeseed or olive oil, plus extra for frying', '2 large carrots, peeled', '225g block halloumi, sliced', '100g bag watercress or baby spinach']	Easy	['Gluten-free', 'Vegetarian']
['italian']	['dinner', 'lunch', 'main-course']	Classic lasagne	['2 olive oil, plus a little for the dish', '750g lean beef mince', '90g pack prosciutto', 'tomato sauce', '200ml hot beef stock', 'a little grated nutmeg', '300g pack fresh lasagne sheets', 'white sauce', '125g ball mozzarella, torn into thin strips']	Easy	['Freezable']
	['dessert']	Easy gooey brownies	['150g butter', '75g  light soft brown sugar', '150g  plain chocolate, broken into pieces', '1 tbsp golden syrup', '3 eggs', '125g golden caster sugar', '1 tsp  vanilla extract', '150g plain flour', '½ tsp  baking powder', '3 tbsp  cocoa powder, plus more to dust', '4-6 tbsp  dulce de leche, caramel or chocolate hazelnut spread']	Easy	['Vegetarian']
['british']	['dinner', 'treat']	Simmer-&-stir Christmas cake	['175g butter, chopped', '200g dark muscovado sugar', '750g luxury mixed dried fruit (one that includes mixed peel and glacé cherries)', 'finely grated zest and juice of 1 orange', 'finely grated zest of 1 lemon', '100ml/3½ fl oz cherry brandy  or brandy plus 4 tbsp more', '85g macadamia nut', '3 large  eggs, lightly beaten', '85g ground almond', '200g plain flour', '½ tsp baking powder', '1 tsp ground mixed spice', '1 tsp ground cinnamon', '¼ tsp ground allspice']	More effort	['Freezable']
	['dinner', 'main-course', 'supper']	Slow cooker lamb curry	['1 large onion, halved and sliced', '3 tbsp Madras curry paste', '400g can chopped tomatoes', '2 tsp vegetable bouillon powder', '25g red lentils', '210g can chickpeas (don’t drain)', '1 tbsp grated ginger', '1 tsp cumin seeds', '1 cinnamon stick', '75g curly kale', '2 lean lamb steaks, fat removed, diced (about 240g)', 'cooked brown rice, to serve']	Easy	['Freezable', 'Dairy-free', 'High-protein']
['italian']	['dinner', 'main-course', 'pasta', 'supper']	Slow cooker vegetable lasagne	['1 tbsp rapeseed oil', '2 onions, sliced', '2 large garlic cloves, chopped', '2 large courgettes, diced (400g)', '1 red and 1 yellow pepper, deseeded and roughly sliced', '400g can chopped tomatoes', '2 tbsp tomato purée', '2 tsp vegetable bouillon', '15g fresh basil, chopped plus a few leaves', '1 large aubergine, sliced across length or width for maximum surface area', '6 wholewheat lasagne sheets (105g)', '125g vegetarian buffalo mozzarella, chopped']	Easy	['Healthy', 'Vegetarian']
	['afternoon-tea', 'dessert', 'treat']	Chocolate cheesecake	['150g digestive biscuits (about 10)', '1 tbsp caster sugar', '45g butter, melted, plus extra for the tin', '150g dark chocolate', '120ml double cream', '2 tsp cocoa powder', '200g full-fat cream cheese', '115g caster sugar']	Easy	['Vegetarian']
['british']	['dinner']	Best ever macaroni cheese recipe	['50g baguette, cut into small chunks', '2 tbsp butter, plus 1 tbsp melted', '350g spiral or other short pasta', '1 garlic clove, finely chopped', '1 tsp English mustard powder', '3 tbsp plain flour', '500ml whole milk', '250g vegetarian mature cheddar, grated ', '50g parmesan (or vegetarian alternative), grated ']	Easy	['Freezable', 'Vegetarian']
['indian']	['dinner', 'lunch', 'main-course', 'supper', 'vegetable']	Carrot biryani	['2 tbsp olive oil', '1 onion, sliced', '1 green chilli, chopped (deseeded if you don’t like it very hot)', '1 garlic clove, peeled', '1 tbsp garam masala', '1 tsp turmeric', '3 carrots, grated', '2 x 200g pouch brown  basmati rice', '150g frozen peas', '50g roasted cashews', 'coriander and yogurt, to serve']	Easy	['Vegetarian']
