cuisine	types	name	ingredients	difficulty	health_banners
['cajun-creole']	['dinner', 'main-course']	Chicken & chorizo jambalaya	['1 tbsp olive oil', '2 chicken breasts, chopped', '1 onion, diced', '1 red pepper, thinly sliced', '2 garlic cloves, crushed', '75g chorizo, sliced', '1 tbsp Cajun seasoning', '250g long grain rice', '400g can plum tomato', '350ml chicken stock']	Easy	['Healthy']
['british']	['afternoon-tea', 'treat']	Lemon drizzle cake	['225g unsalted butter,  softened', '225g caster sugar', '4 eggs', '225g self-raising flour', '1 lemon, zested', '1½ lemons, juiced', '85g caster sugar']	Easy	['Freezable']
['american']	['afternoon-tea', 'dessert', 'treat']	Best ever chocolate brownies recipe	['185g unsalted butter', '185g best dark chocolate', '85g plain flour', '40g cocoa powder', '50g white chocolate', '50g milk chocolate', '3 large eggs', '275g golden caster sugar']	More effort	[]
['mexican']	['dinner', 'lunch']	Chilli con carne recipe	['1 large onion', '1 red pepper', '2 garlic cloves', '1 tbsp oil', '1 heaped tsp hot chilli powder  (or 1 level tbsp if you only have mild)', '1 tsp paprika', '1 tsp ground cumin', '500g lean minced beef', '1 beef stock cube', '400g can chopped tomatoes', '½ tsp dried marjoram', '1 tsp sugar (or add a thumbnail-sized piece of dark chocolate along with the beans instead, see tip)', '2 tbsp tomato purée', '410g can red kidney beans', 'plain boiled long grain rice, to serve', 'soured cream, to serve']	Easy	['Freezable']
['italian']	['dinner', 'main-course']	Creamy courgette lasagne	['9 dried lasagne  sheets', '1 tbsp sunflower oil', '1 onion, finely chopped', '700g courgette (about 6), coarsely grated', '2 garlic cloves, crushed', '250g tub ricotta', '50g cheddar', '350g jar tomato sauce  for pasta']	Easy	['Easily doubled', 'Easily halved', 'Vegetarian']
['british']	['afternoon-tea', 'buffet', 'supper', 'treat']	Classic Victoria sandwich recipe	['200g caster sugar', '200g softened butter', '4 eggs, beaten', '200g self-raising flour', '1 tsp  baking powder', '2 tbsp milk', '100g butter, softened', '140g icing sugar, sifted', 'drop vanilla extract (optional)', 'half a 340g jar good-quality strawberry jam', 'icing sugar, to decorate']	Easy	['Freezable (Cake base freezes well for 3 months)']
	['lunch', 'snack', 'soup', 'supper']	Chicken noodle soup	['900ml chicken or vegetable stock (or Miso soup mix)', '1 boneless, skinless chicken breast (about 175g)', '1 tsp chopped  fresh ginger', '1 garlic clove, finely chopped', '50g rice or wheat noodles', '2 tbsp  sweetcorn, canned or frozen', '2-3 mushrooms, thinly sliced', '2 spring onions, shredded', '2 tsp  soy sauce, plus extra for serving', 'mint  or basil leaves and a little shredded chilli (optional), to serve']	Easy	['Healthy']
	['afternoon-tea', 'dessert']	Easy chocolate fudge cake	['150ml sunflower oil, plus extra for the tin', '175g self-raising flour', '2 tbsp cocoa powder', '1 tsp bicarbonate of soda', '150g caster sugar', '2 tbsp golden syrup', '2 large eggs, lightly beaten', '150ml semi-skimmed milk', '100g unsalted butter', '225g icing sugar', '40g cocoa powder', '2½ tbsp milk (a little more if needed)']	Easy	['Vegetarian']
	['dinner', 'main-course']	Sweet potato & peanut curry	['1 tbsp coconut oil', '1 onion, chopped', '2 garlic cloves, grated', 'thumb-sized piece ginger, grated', '3 tbsp Thai red curry paste (check the label to make sure it’s vegetarian/ vegan)', '1 tbsp smooth peanut butter', '500g sweet potato, peeled and cut into chunks', '400ml can coconut milk', '200g bag spinach', '1 lime, juiced', 'cooked rice, to serve (optional)', 'dry roasted peanuts, to serve (optional)']	Easy	['Gluten-free', 'Vegan', 'Vegetarian']
	['dinner', 'main-course', 'pasta']	Chicken pasta bake	['4 tbsp olive oil', '1 onion, finely chopped', '2 garlic cloves, crushed ', '¼ tsp chilli flakes', '2 x 400g cans chopped tomatoes', '1 tsp caster sugar', '6 tbsp mascarpone', '4 skinless chicken breasts, sliced into strips ', '300g penne', '70g mature cheddar, grated ', '50g grated mozzarella', '½ small bunch of parsley, finely chopped']	Easy	[]
['italian']	['dinner', 'lunch', 'main-course', 'supper']	The best spaghetti bolognese recipe	['1 tbsp olive oil', '4 rashers smoked streaky bacon,  finely chopped', '2 medium onions, finely chopped', '2 carrots, trimmed and finely chopped', '2 celery sticks, finely chopped', '2 garlic cloves finely chopped', '2-3 sprigs rosemary leaves picked and finely chopped', '500g beef mince', '2 x 400g tins plum tomatoes', 'small pack basil leaves picked, ¾ finely chopped and the rest left whole for garnish', '1 tsp dried oregano', '2 fresh bay leaves', '2 tbsp tomato purée', '1 beef stock cube', '1 red chilli deseeded and finely chopped (optional)', '125ml red wine', '6 cherry tomatoes sliced in half', '75g parmesan grated, plus extra to serve', '400g spaghetti', 'crusty bread to serve (optional)']	Easy	['Freezable (sauce only)']
	['dinner', 'pasta', 'supper']	Chorizo & mozzarella gnocchi bake	['1 tbsp olive oil', '1 onion, finely chopped', '2 garlic cloves, crushed', '120g chorizo, diced', '2 x 400g cans chopped  tomatoes', '1 tsp caster sugar', '600g fresh gnocchi', '125g mozzarella ball, cut into chunks', 'small bunch of basil, torn', 'green salad, to serve']	Easy	[]
['british']	['afternoon-tea', 'dessert']	Banana bread	['140g butter, softened, plus extra for the tin', '140g caster sugar', '2 large eggs, beaten', '140g self-raising flour', '1 tsp baking powder', '2 very ripe  bananas, mashed', '50g icing sugar', 'handful dried banana chips, for decoration']	Easy	['Freezable (un-iced)']
