cuisine	types	name	ingredients	difficulty	health_banners
	['dinner', 'main-course', 'supper']	Chicken schnitzel with brown butter & capers	['4 chicken thighs, skinless and boneless', '100g flour, seasoned', '2 medium eggs, beaten', '100g white breadcrumbs', '2 tbsp groundnut or olive oil', '25g unsalted butter', 'lemon wedges, to serve', '150g unsalted butter', '2 tbsp capers, rinsed and patted dry', '½ tbsp roughly chopped fresh rosemary']	Easy	[]
	['lunch', 'main-course', 'supper']	Tatie cake	['100g lard or margarine', '200g flour, plus a little for dusting', '2-3 floury potatoes, depending on size, thinly sliced', '1 large onion, thinly sliced', '2 rashers bacon, or some small pieces cut from a joint', '1 egg, beaten']	Easy	['Freezable']
	['lunch', 'starter', 'vegetable']	Charred spring onions & romesco	['100g blanched almonds, roasted', '50g walnuts, roasted', '2 garlic cloves, peeled and roasted until golden', '400g skinned roasted red peppers, from a jar', '1 tsp tomato purée', '1 slice sourdough bread, soaked in a bit of water', '100ml extra virgin olive oil, plus extra for griddling', '½ tsp cayenne pepper', '½ tsp hot smoked paprika', '2-4 tsp red wine vinegar', 'bunch spring onions, outer layer removed']	Easy	['Vegetarian']
	['buffet', 'canapes', 'fish-course', 'starter']	Salt cod fritters with saffron allioli	['500g salt cod fillets, soaked and drained', '1 bay leaf', '450g potatoes, peeled and cut into chunks', '2 tbsp extra virgin olive oil', '55g plain flour', '2 medium eggs, lightly beaten', '3 garlic cloves, grated to a purée', '2 tbsp finely chopped parsley', 'generous squeeze of  lemon juice (reserve some lemon wedges to serve)', 'groundnut oil, for deep-frying', '1 tbsp lemon juice', '1 tsp white wine vinegar', 'pinch saffron', '2 garlic cloves', '2 egg yolks (freeze the whites to use later)', '300ml extra virgin olive oil (choose a fruity one)']	More effort	[]
['asian']	['starter']	Seared scallops with leeks & lemon chilli butter	['4 young, but not baby leeks leeks, trimmed', '12 scallops, roes on or off', '1 tbsp light olive oil', 'lemon  wedges, to serve', '250g pack butter, softened', '1 red chilli, deseeded and finely chopped', '2 garlic cloves, crushed', 'zest 2 lemon', 'bunch parsley, leaves chopped, plus extra to serve']	Easy	['Easily doubled', 'Easily halved']
['swedish']	['dinner', 'main-course']	Austrian hash	"['1 ½ tbsp corn, sunflower or vegetable oil', '400g smoked bacon lardon  (or use cooked ham)', '1 onion, cut into chunks', '500g cooked potato  (preferably waxy ones), cold and cut into small chunks', '1 tsp caraway seed', ""1 ½ tsp hot, sweet paprika  (if you can't find this use sweet paprika mixed with a pinch of chilli powder)"", 'small handful parsley, roughly chopped']"	Easy	[]
	['afternoon-tea', 'drink']	Cinnamon tea	['1 cinnamon stick', '2 tsp assam leaf tea', 'honey to taste']	Easy	['Gluten-free', 'Healthy', 'Vegetarian']
['british']	['lunch', 'main-course']	Sticky treacle-glazed ham	['3.5-4kg/7lb 10oz-9lb boned rolled piece unsmoked ham', '2 oranges, 1 cut into wedges and finely grated zest and juice of the other', '1 cinnamon stick', '2 tbsp English mustard', '85g black treacle', 'handful cloves', 'big bunch bay leaves and orange segments, to serve (optional)']	More effort	['Freezable']
['british']	['dinner', 'lunch', 'side-dish', 'supper']	Roasted carrot, spelt, fennel & blood orange salad	['400g spelt', '1 vegetable stock cube', '4 tbsp extra virgin olive oil', '400g baby carrots, scrubbed', '3 blood oranges, 2 zested and 1 juiced', '1 tbsp olive oil', '2 tsp clear honey', '2 fennel bulbs, thinly sliced', '4 tbsp red wine vinegar', '1 small red onion, finely chopped', 'large bunch parsley, chopped', '70g pack pitted, dry black olives or 85g couchillo (the very small black ones) or Kalamata olives', 'small pack parsley, chopped (optional)']	Easy	['Healthy', 'Vegetarian']
['british']	['afternoon-tea', 'dessert', 'treat']	Blood orange, blossom & pomegranate cake	['6 blood oranges, 3 whole, juice of 3', '250g pack butter, softened', '50g clear honey, plus 2 tbsp', '300g golden caster sugar', '200g self-raising flour', '100g ground almonds', '1 tsp baking powder', '4 large eggs', '1 tbsp orange blossom water, plus 1 tsp', '140g full-fat Greek yogurt, plus extra to serve', '1 small pomegranate, halved']	More effort	['Freezable']
