type	name	ingredients	difficulty	health_banners
afternoon-tea	Lemon drizzle cake	['225g unsalted butter,  softened', '225g caster sugar', '4 eggs', '225g self-raising flour', '1 lemon, zested', '1½ lemons, juiced', '85g caster sugar']	Easy	['Freezable']
afternoon-tea	Best ever chocolate brownies recipe	['185g unsalted butter', '185g best dark chocolate', '85g plain flour', '40g cocoa powder', '50g white chocolate', '50g milk chocolate', '3 large eggs', '275g golden caster sugar']	More effort	[]
afternoon-tea	Classic Victoria sandwich recipe	['200g caster sugar', '200g softened butter', '4 eggs, beaten', '200g self-raising flour', '1 tsp  baking powder', '2 tbsp milk', '100g butter, softened', '140g icing sugar, sifted', 'drop vanilla extract (optional)', 'half a 340g jar good-quality strawberry jam', 'icing sugar, to decorate']	Easy	['Freezable (Cake base freezes well for 3 months)']
afternoon-tea	Easy chocolate fudge cake	['150ml sunflower oil, plus extra for the tin', '175g self-raising flour', '2 tbsp cocoa powder', '1 tsp bicarbonate of soda', '150g caster sugar', '2 tbsp golden syrup', '2 large eggs, lightly beaten', '150ml semi-skimmed milk', '100g unsalted butter', '225g icing sugar', '40g cocoa powder', '2½ tbsp milk (a little more if needed)']	Easy	['Vegetarian']
afternoon-tea	Classic scones with jam & clotted cream	['350g self-raising flour, plus more for dusting', '1 tsp baking powder', '85g butter, cut into cubes', '3 tbsp caster sugar', '175ml milk', '1 tsp vanilla extract', 'squeeze lemon juice  (see tips below)', 'beaten egg, to glaze', 'jam and clotted cream, to serve']	Easy	['Easily doubled', 'Easily halved', 'Freezable']
afternoon-tea	Easy carrot cake	['230ml vegetable oil, plus extra for the tin', '100g natural yogurt', '4 large eggs', '1½ tsp vanilla extract', '½ orange, zested', '265g self-raising flour', '335g light muscovado sugar', '2½ tsp ground cinnamon', '¼ fresh nutmeg, finely grated', '265g carrots (about 3), grated', '100g sultanas or raisins', '100g walnuts or pecans, roughly chopped (optional)', '100g slightly salted butter, softened', '300g icing sugar', '100g soft cheese']	Easy	['Freezable (un-iced)']
afternoon-tea	Banana bread	['140g butter, softened, plus extra for the tin', '140g caster sugar', '2 large eggs, beaten', '140g self-raising flour', '1 tsp baking powder', '2 very ripe  bananas, mashed', '50g icing sugar', 'handful dried banana chips, for decoration']	Easy	['Freezable (un-iced)']
afternoon-tea	Ultimate chocolate cake	['200g dark chocolate (about 60% cocoa solids), chopped', '200g butter, cubed', '1 tbsp instant coffee granules', '85g self-raising flour', '85g plain flour', '¼ tsp bicarbonate of soda', '200g light muscovado sugar', '200g golden caster sugar', '25g cocoa powder', '3 medium  eggs', '75ml buttermilk', '50g grated chocolate or 100g curls, to decorate', '200g dark chocolate (about 60% cocoa solids), chopped', '300ml double cream', '2 tbsp golden caster sugar', '']	Easy	['Freezable (un-iced and undecorated)']
afternoon-tea	Chocolate fudge crinkle biscuits	['60g cocoa powder, sieved', '200g caster sugar', '60ml vegetable oil', '2 large eggs', '180g plain flour', '1 tsp baking powder', '70g icing sugar']	Easy	['Freezable', 'Vegetarian']
afternoon-tea	Carrot cake	['175g light muscovado sugar', '175ml sunflower oil', '3 large eggs, lightly beaten', '140g grated carrot (about 3 medium)', '100g raisins', '1 large orange, zested', '175g self-raising flour', '1 tsp bicarbonate of soda', '1 tsp ground cinnamon', '½ tsp grated nutmeg (freshly grated will give you the best flavour)', '175g icing sugar', '1½-2 tbsp orange juice']	Easy	['Freezable', 'Dairy-free']
